name,closed,lat,lng,city,state,country,url
Bromley Mountain,false,0.4322778e2,-0.7293861e2,Peru,Vermont,United States,
Burke Mountain,false,0.4457083e2,-0.7189317e2,Burke,Vermont,United States,
Skiing Cochrans,false,0.44396e2,-0.72982e2,Richmond,Vermont,United States,
Strafford,false,0.4386583e2,-0.7237722e2,Strafford,Vermont,United States,
St. Albans,false,0.4481028e2,-0.7315222e2,Saint Albans,Vermont,United States,http://www.stalbanstown.com
Haystack Mountain Ski Area,false,0.429226028e2,-0.728945694e2,Wilmington,Vermont,United States,http://www.hermitageclub.com/
Jay Peak Resort,false,0.4492944e2,-0.7253222e2,Jay,Vermont,United States,http://www.jaypeakresort.com/
Killington Ski Resort,false,0.43626e2,-0.72798e2,Killington,Vermont,United States,http://www.killington.com/
Brattleboro,false,0.4285e2,-0.7258222e2,Williams Street,Vermont,United States,
Lyndon,false,0.4453583e2,-0.7200528e2,Lyndonville,Vermont,United States,http://www.lyndonvt.org
Mad River Glen,false,0.4420083e2,-0.7292444e2,Fayston,Vermont,United States,http://www.madriverglen.com
Magic Mountain Ski Area,false,0.4319278e2,-0.7276e2,Londonderry,Vermont,United States,http://www.magicmtn.com
Middlebury College Snow Bowl,false,0.4394e2,-0.7296e2,Hancock,Vermont,United States,
Mount Snow,false,0.42959e2,-0.72922e2,Somerset,Vermont,United States,https://www.mountsnow.com
Northeast Slopes,false,0.440725e2,-0.7225028e2,Corinth,Vermont,United States,https://northeastslopes.org
Okemo Mountain,false,0.4340139e2,-0.7271667e2,Ludlow,Vermont,United States,http://www.okemo.com/
Pico Mountain,false,0.4366167e2,-0.728425e2,Killington,Vermont,United States,http://www.picomountain.com/
Plymouth Notch,false,0.435299e2,-0.727388e2,Plymouth,Vermont,United States,
Quechee Ski Area,false,0.436572e2,-0.724431e2,Ski Ticket Booth,Vermont,United States,
Saskadena Six,false,0.4366389e2,-0.7254444e2,Pomfret,Vermont,United States,http://saskadenasix.com
Smugglers' Notch Resort,false,0.4457278e2,-0.7277611e2,Cambridge,Vermont,United States,http://www.smuggs.com
Stowe Mountain Resort,false,0.4453194e2,-0.727875e2,Mountain Road,Vermont,United States,http://www.stowe.com
Stratton Mountain Resort,false,0.4311417e2,-0.7290667e2,Stratton,Vermont,United States,https://www.stratton.com/
Sugarbush Resort,false,0.44135098e2,-0.72885962e2,Warren,Vermont,United States,http://www.sugarbush.com
Wisp Ski Resort,false,0.3955806e2,-0.7936306e2,McHenry,Maryland,United States,
Big Snow American Dream,false,0.4081111e2,-0.7407e2,East Rutherford,New Jersey,United States,http://bigsnowamericandream.com
Campgaw Mountain,false,0.410542633e2,-0.741993123e2,Campgaw Mountain Reservation,New Jersey,United States,
Hidden Valley,false,0.411856e2,-0.744806e2,National Winter Activity Center,New Jersey,United States,
Mountain Creek,false,0.41181e2,-0.74513e2,Red Lodge Drive,New Jersey,United States,http://www.mountaincreek.com
Belleayre Mountain,false,0.421422139e2,-0.74510778e2,Town of Shandaken,New York,United States,https://www.belleayre.com
Bristol Mountain Ski Resort,false,0.42745e2,-0.77404444e2,North Star Village,New York,United States,http://www.bristolmountain.com/
Catamount Ski Area,false,0.42171457e2,-0.73477764e2,Town of Hillsdale,New York,United States,http://www.catamountski.com/
Gore Mountain,false,0.4367222e2,-0.7400694e2,Town of Johnsburg,New York,United States,http://www.goremountain.com/
Greek Peak Mountain Resort,false,0.425085996e2,-0.761460485e2,Town of Virgil,New York,United States,https://www.greekpeak.net
Holiday Valley,false,0.422625e2,-0.7866806e2,Holiday Valley Lodge,New York,United States,http://www.holidayvalley.com/
Hunter Mountain,false,0.42200278e2,-0.74230278e2,Town of Hunter,New York,United States,https://www.huntermtn.com
McCauley Mountain,false,0.436925676e2,-0.749612837e2,McCauley Mountain Ski Area,New York,United States,
Peek'n Peak,false,0.420625e2,-0.7973667e2,Town of Clymer,New York,United States,http://www.pknpk.com/
Plattekill Mountain,false,0.42290251e2,-0.74653678e2,Town of Roxbury,New York,United States,http://plattekill.com/
Thunder Ridge Ski Area,false,0.4150722e2,-0.7358111e2,Birch Hill Road,New York,United States,http://www.thunderridgeski.com/
Titus Mountain,false,0.4476333e2,-0.7423528e2,Titus Mountain Family Ski Center,New York,United States,https://www.titusmountain.com/
West Mountain,false,0.4328556e2,-0.7372833e2,Trails End,New York,United States,http://www.westmtn.net/
Whiteface Mountain,false,0.4436583e2,-0.7390278e2,Town of Wilmington,New York,United States,http://www.whiteface.com
Windham Mountain,false,0.4229167e2,-0.7425944e2,Town of Windham,New York,United States,http://www.windhammountain.com/
Bear Creek Mountain Resort,false,0.4047611e2,-0.7562583e2,Longswamp Township,Pennsylvania,United States,http://www.bcmr.com/
Blue Mountain Resort,false,0.4082222e2,-0.7551333e2,Lower Towamensing Township,Pennsylvania,United States,https://www.skibluemt.com/
Boyce Park,false,0.4046556e2,-0.7974528e2,Yellow / Black Dot Trail,Pennsylvania,United States,
Camelback Mountain Resort,false,0.4105139e2,-0.7535528e2,Pocono Township,Pennsylvania,United States,http://www.skicamelback.com
Elk Mountain Ski Area,false,0.41721e2,-0.75559e2,Elk Mountain Road,Pennsylvania,United States,http://www.elkskier.com
Hidden Valley Resort,false,0.40058042e2,-0.79258277e2,Jefferson Township,Pennsylvania,United States,http://www.hiddenvalleyresort.com
Jack Frost–Big Boulder Ski Resort,false,0.41111e2,-0.75652e2,Kidder Township,Pennsylvania,United States,https://www.jfbb.com
Liberty Mountain Resort,false,0.397635e2,-0.77375e2,Carroll Valley,Pennsylvania,United States,http://www.libertymountainresort.com
Montage Mountain Ski Resort,false,0.413533e2,-0.756592e2,Scranton,Pennsylvania,United States,
Mount Pleasant of Edinboro,false,0.4185111e2,-0.8007028e2,Mount Pleasant of Edinboro,Pennsylvania,United States,
Seven Springs Mountain Resort,false,0.4002306e2,-0.7929278e2,Seven Springs,Pennsylvania,United States,http://www.7springs.com
Shawnee Mountain Ski Area,false,0.4104083e2,-0.7508333e2,Middle Smithfield Township,Pennsylvania,United States,http://www.shawneemt.com
Ski Big Bear,false,0.4152333e2,-0.75025e2,Big Bear Ski Resort,Pennsylvania,United States,
Roundtop Mountain Resort,false,0.40108e2,-0.76926e2,Warrington Township,Pennsylvania,United States,http://www.skiroundtop.com
Schwenksville,false,0.4025639e2,-0.75465e2,Schwenksville,Pennsylvania,United States,
Tussey Mountain,false,0.407682e2,-0.77752e2,Centre Hall,Pennsylvania,United States,http://www.tusseymountain.com
Whitetail Ski Resort,false,0.3974167e2,-0.7793278e2,Mercersburg,Pennsylvania,United States,http://www.skiwhitetail.com
Appalachian Ski Mountain,false,0.36174e2,-0.81662e2,The Lodge,North Carolina,United States,http://www.appskimtn.com/
Cataloochee Ski Area,false,0.35563e2,-0.8309e2,Maggie Valley,North Carolina,United States,http://www.cataloochee.com
Wolf Ridge Ski Resort,false,0.35955e2,-0.82509e2,Wolf Ridge Ski Resort,North Carolina,United States,http://www.skiwolfridgenc.com/
Ober Gatlinburg,false,0.3570306e2,-0.8355778e2,Ober Gatlinburg Lodge,Tennessee,United States,https://obergatlinburg.com
Bryce Resort,false,0.388175e2,-0.7876583e2,Bryce Resort,Virginia,United States,http://www.bryceresort.com/Home.aspx
Massanutten Mountain,false,0.38643028e2,-0.78612028e2,US 211,Virginia,United States,
The Omni Homestead Resort,false,0.379954722e2,-0.798296444e2,Hot Springs,Virginia,United States,
Wintergreen Resort,false,0.3793e2,-0.7894167e2,Fairway Oaks Lane,Virginia,United States,http://www.wintergreenresort.com/
Canaan Valley Resort State Park,false,0.3902361e2,-0.7946583e2,Canaan Valley Resort State Park,West Virginia,United States,https://wvstateparks.com/park/canaan-valley-resort-state-park/
Snowshoe Mountain,false,0.3840889e2,-0.7999472e2,Snowshoe Drive,West Virginia,United States,http://www.snowshoemtn.com/
Winterplace Ski Resort,false,0.3759e2,-0.81115e2,Tower Road,West Virginia,United States,http://www.winterplace.com
Ski Snowstar,false,0.41425e2,-0.907438e2,Ski Snowstar Winter Sports Park,Illinois,United States,
Paoli Peaks,false,0.3855778e2,-0.8651028e2,Paoli Peaks,Indiana,United States,http://www.paolipeaks.com
Perfect North Slopes,false,0.39149208e2,-0.84886581e2,Adaptive Building,Indiana,United States,http://www.perfectnorth.com/
Big Powderhorn Mountain,false,0.4650417e2,-0.9009611e2,Musket Court,Michigan,United States,https://bigpowderhorn.net/
Snow River Mountain Resort,false,0.465021e2,-0.900046e2,Black Jack Road,Michigan,United States,http://www.snowriver.com
Boyne Mountain Resort,false,0.4516389e2,-0.8493278e2,Boyne Country Sports & Shops,Michigan,United States,http://www.boyne.com/BoyneMountain/
Caberfae Peaks Ski & Golf Resort,false,0.4424972e2,-0.85725e2,Prospector Drive,Michigan,United States,http://caberfaepeaks.com
Crystal Mountain,false,0.4452e2,-0.8599222e2,The Lodge,Michigan,United States,http://www.crystalmountain.com
The Highlands at Harbor Springs,false,0.4547083e2,-0.8493472e2,Boyne Highlands Drive,Michigan,United States,https://www.highlandsharborsprings.com/
Snow River Mountain Resort,false,0.465021e2,-0.900046e2,Black Jack Road,Michigan,United States,http://www.snowriver.com
Marquette Mountain,false,0.46508e2,-0.8742e2,Marquette,Michigan,United States,http://www.marquettemountain.com
Mont Ripley,false,0.4712917e2,-0.8855944e2,Mont Ripley,Michigan,United States,
Mount Bohemia,false,0.4739167e2,-0.8801361e2,Keweenaw County,Michigan,United States,http://www.mtbohemia.com/
Mount Brighton,false,0.4253806e2,-0.8380694e2,Brighton,Michigan,United States,
Mulligan's Hollow Ski Bowl,false,0.430564e2,-0.862393e2,Mulligan's Hollow Rec Area,Michigan,United States,
Nub's Nob,false,0.4547e2,-0.84903e2,Harbor Springs,Michigan,United States,http://nubsnob.com
Pine Knob,false,0.427422524e2,-0.833671629e2,Village of Clarkston,Michigan,United States,
Porcupine Mountains Ski Area,false,0.468e2,-0.8967e2,Union Spring Trail,Michigan,United States,https://porkies.ski/
Ski Brule,false,0.46028e2,-0.88701e2,Rental and Tech center,Michigan,United States,
Timber Ridge Ski Area,false,0.42391711e2,-0.85779052e2,23 1/2 Street,Michigan,United States,
Afton Alps,false,0.4485556e2,-0.9278917e2,Afton Alps,Minnesota,United States,http://www.aftonalps.com/
Buck Hill,false,0.44724e2,-0.93283e2,Main Chalet,Minnesota,United States,http://www.buckhill.com
Buena Vista Ski Area,false,0.4765806e2,-0.9487917e2,Buena Vista Acsess Road,Minnesota,United States,
Hyland Hills Ski Area,false,0.44844e2,-0.93364e2,HSSA Chalet,Minnesota,United States,https://www.threeriversparks.org/location/hyland-hills-ski-area
