name,closed,lat,lng,city,state,url,forecast_url
Loon Mountain,false,44.03597,-71.62144,Lincoln,New Hampshire,,"https://api.weather.gov/gridpoints/GYX/27,67/forecast"
McIntyre Ski Area,false,43.005,-71.44,Manchester,New Hampshire,http://www.mcintyreskiarea.com,"https://api.weather.gov/gridpoints/GYX/42,21/forecast"
Mount Sunapee Resort,false,43.33056,-72.08,Newbury,New Hampshire,http://www.mountsunapee.com,"https://api.weather.gov/gridpoints/GYX/18,32/forecast"
Pats Peak,false,43.16333,-71.79583,Henniker,New Hampshire,http://www.patspeak.com,"https://api.weather.gov/gridpoints/GYX/28,26/forecast"
Ragged Mountain Resort,false,43.48444,-71.84222,Danbury,New Hampshire,http://www.raggedmountainresort.com/,"https://api.weather.gov/gridpoints/GYX/24,41/forecast"
Tenney Mountain Ski Resort,false,43.73778,-71.78361,Groton,New Hampshire,,"https://api.weather.gov/gridpoints/GYX/24,52/forecast"
The Balsams Grand Resort Hotel,false,44.87056,-71.30778,,New Hampshire,,"https://api.weather.gov/gridpoints/GYX/31,107/forecast"
Waterville Valley Resort,false,43.96528,-71.52778,Waterville Valley,New Hampshire,http://www.waterville.com,"https://api.weather.gov/gridpoints/GYX/31,64/forecast"
Whaleback,false,43.60139,-72.18139,Enfield,New Hampshire,http://www.whaleback.com/,"https://api.weather.gov/gridpoints/GYX/12,44/forecast"
Wildcat Mountain Ski Area,false,44.26306,-71.23833,Bobcat Lodge,New Hampshire,http://www.skiwildcat.com,"https://api.weather.gov/gridpoints/GYX/38,80/forecast"
Yawgoo Valley,true,41.51694,-71.52944,,Rhode Island,http://www.yawgoo.com,"https://api.weather.gov/gridpoints/BOX/62,49/forecast"
Brownsville,false,43.46861,-72.47083,West Windsor,Vermont,http://www.westwindsorvt.govoffice2.com,"https://api.weather.gov/gridpoints/BTV/120,13/forecast"
Bellows Falls,false,43.13333,-72.44389,Rockingham,Vermont,https://www.rockinghamvt.org/,"https://api.weather.gov/gridpoints/ALY/98,87/forecast"
Bolton Valley,false,44.419621,-72.849998,Bolton,Vermont,http://www.boltonvalley.com/,"https://api.weather.gov/gridpoints/BTV/100,55/forecast"
Bromley Mountain,false,43.22778,-72.93861,Peru,Vermont,,"https://api.weather.gov/gridpoints/ALY/81,89/forecast"
Burke Mountain,false,44.57083,-71.89317,Burke,Vermont,,"https://api.weather.gov/gridpoints/BTV/130,67/forecast"
Skiing Cochrans,false,44.396,-72.982,Richmond,Vermont,,"https://api.weather.gov/gridpoints/BTV/96,53/forecast"
